Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,MinorityInterests,NetIncomeIncludingNoncontrollingInterests,NetIncomeDiscontinuousOperations,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,NetNonOperatingInterestIncomeExpense,InterestExpenseNonOperating,OperatingIncome,OperatingExpense,SellingGeneralAndAdministration,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,,,,,,,,
ABM FUJIYA BERHAD,44926,-1856.88,0.24,"RM10,445,493.00",-7737,-7737,"RM-2,111,132.00",7669878,"RM86,965,903.00","RM10,437,756.00","RM2,767,878.00","RM-3,238,025.00","RM3,300,775.00",62750,"RM-2,105,251.88","RM-2,111,132.00","RM98,046,488.00",116300,"RM2,705,128.00","RM180,000,000.00","RM180,000,000.00",-0.0117,-0.0117,-2111132,-2111132,0,-2111132,-2111132,-2111132,1578235,-532897,-7737,7737,-3238025,3300775,62750,2712865,11080585,#NUM!,12376272,2900205,9476067,13793450,86965903,"RM100,759,353.00","RM100,759,353.00",,,,,,,,,,,
ABM FUJIYA BERHAD,44561,18046.927221,0.372878,"RM12,759,857.00",48399,48399,"RM1,512,058.00",7828827,"RM76,778,682.00","RM12,808,256.00","RM4,979,429.00","RM-2,513,128.00","RM2,568,322.00",55194,"RM1,481,705.93","RM1,512,058.00","RM85,549,683.00",100800,"RM4,924,235.00","RM180,000,000.00","RM180,000,000.00",0.0084,0.0084,1512058,1512058,0,1512058,1512058,1512058,899049,2411107,48399,-48399,-2513128,2568322,55194,4875836,8771001,118711,10088620,3067062,7021558,13646837,76778682,"RM90,425,519.00","RM90,425,519.00",,,,,,,,,,,
ABM FUJIYA BERHAD,44196,-66505.379077,0.382622,"RM15,071,296.00",-173815,-173815,"RM2,262,851.00",8481184,"RM73,827,225.00","RM14,897,481.00","RM6,416,297.00","RM-2,683,358.00","RM2,751,039.00",67681,"RM2,370,160.62","RM2,262,851.00","RM80,729,337.00",85800,"RM6,348,616.00","RM180,000,000.00","RM180,000,000.00",0.0126,0.0126,2262851,2262851,0,2262851,2262851,2262851,1402407,3665258,-173815,173815,-2683358,2751039,67681,6522431,6902112,154627,8496871,1719865,6777006,13424543,73827225,"RM87,251,768.00","RM87,251,768.00",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,InterestIncome,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,MinorityInterests,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,SpecialIncomeCharges,NetNonOperatingInterestIncomeExpense,InterestExpenseNonOperating,InterestIncomeNonOperating,OperatingIncome,OperatingExpense,SellingGeneralAndAdministration,GeneralAndAdministrativeExpense,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,,,,,
ACE INNOVATE ASIA BERHAD,44926,0,0.24,"RM1,360,715.00",#NUM!,#NUM!,"RM135,732.00",524565,"RM1,235,454,646.00","RM1,360,715.00","RM836,150.00","RM-385,170.00","RM469,884.00",84714,"RM135,732.00","RM135,732.00","RM1,243,464,610.00","RM836,150.00","RM300,033,000.00","RM300,033,000.00",0.0005,0.0005,135732,135732,0,135732,"RM15,429.00",120303,120303,245963,366266,45888,#NUM!,-385170,469884,84714,162453,8009964,8009964,8009964,8172417,1235454646,"RM1,243,627,063.00","RM1,243,627,063.00",,,,,,,,,,,,,
ACE INNOVATE ASIA BERHAD,44561,0,0.24,"RM1,924,563.00",#NUM!,#NUM!,"RM152,742.00",529675,"RM1,578,222,218.00","RM1,924,563.00","RM1,394,888.00","RM-522,006.00","RM591,997.00",69991,"RM152,742.00","RM152,742.00","RM1,586,802,136.00","RM1,394,888.00","RM300,033,000.00","RM300,033,000.00",0.0005,0.0005,152742,152742,0,152742,"RM1,132.00",151610,151610,651281,802891,509083,#NUM!,-522006,591997,69991,689820,8579918,8579918,8579918,9269738,1578222218,"RM1,587,491,956.00","RM1,587,491,956.00",,,,,,,,,,,,,
ACE INNOVATE ASIA BERHAD,44196,0,0.24882,"RM6,175,325.00",0,0,"RM4,053,299.00",565834,"RM1,314,352,843.00","RM6,175,325.00","RM5,609,491.00","RM-132,916.00","RM213,579.00",80663,"RM4,053,299.00","RM4,053,299.00","RM1,323,275,171.00","RM5,609,491.00","RM300,033,000.00","RM300,033,000.00",0.0135,0.0135,4053299,4053299,0,4053299,RM0.00,4053299,4053299,1342613,5395912,72772,0,-132916,213579,80663,5370655,8922328,8922328,8922328,14292983,1314352843,"RM1,328,645,826.00","RM1,328,645,826.00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,index,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,InterestIncome,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,SpecialIncomeCharges,OtherSpecialCharges,NetNonOperatingInterestIncomeExpense,TotalOtherFinanceCost,InterestExpenseNonOperating,InterestIncomeNonOperating,OperatingIncome,OperatingExpense,OtherOperatingExpenses,SellingGeneralAndAdministration,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,,,,,,,,,
